pl_name,hostname,pl_orbper,pl_bmasse,pl_rade,st_teff,st_mass,st_rad,disc_year,disc_facility,sy_dist,ra,dec,pl_eqt,pl_dens
Kepler-426 b,Kepler-426,3.21751883,108.06,12.22,5725.0,0.91,0.92,2014,Kepler,843.695,289.4346668,49.473455,1300.0,0.26
Kepler-1364 b,Kepler-1364,13.32196237,,2.15,6805.0,1.49,1.79,2016,Kepler,1056.9,295.1521334,49.5876179,,
K2-324 b,K2-324,3.262,,2.43,3752.0,0.517,0.505,2020,K2,136.667,157.6222171,6.8636732,707.0,
Kepler-1587 b,Kepler-1587,9.4060467,,1.33,5933.0,1.08,1.22,2016,Kepler,1026.48,292.6777294,49.6638666,,
Kepler-1614 b,Kepler-1614,3.9466141,,1.49,5121.0,0.79,0.76,2016,Kepler,1191.19,284.8713893,49.7758867,,
Kepler-1479 b,Kepler-1479,14.53261362,,1.83,5796.0,0.99,0.98,2016,Kepler,728.668,285.7119953,49.7067574,,
Kepler-1987 d,Kepler-1987,5.644914154,,2.66,4769.0,0.799,0.714,2023,Kepler,595.683,295.8254663,42.9433716,744.0,
Kepler-1765 b,Kepler-1765,10.41889954,,2.49508857,5692.0,0.946,1.064,2021,Kepler,764.456,298.0144601,42.9574314,,
Kepler-361 c,Kepler-361,55.188023,,2.52,6169.0,,1.343,2014,Kepler,930.32,296.8034146,46.7411011,,
TOI-2076 b,TOI-2076,10.355235,,2.39,5201.0,0.883,0.774,2021,Transiting Exoplanet Survey Satellite (TESS),41.9091,217.3920159,39.7903991,738.0,
TOI-1062 b,TOI-1062,4.11296,10.15,2.265,5328.0,0.94,0.84,2021,Transiting Exoplanet Survey Satellite (TESS),82.1733,38.1209678,-78.0236828,1077.0,4.85
TOI-1298 b,TOI-1298,4.537143,99.0,9.65807033,5752.0,1.2187,1.4536,2021,Transiting Exoplanet Survey Satellite (TESS),319.036,241.3229012,70.1900397,1278.0,0.6
TOI-2081 b,TOI-2081,10.50534,,2.04,3800.0,0.54,0.534,2022,Transiting Exoplanet Survey Satellite (TESS),62.3446,264.3022634,53.0255666,488.0,
CoRoT-36 b,CoRoT-36,5.616531,216.12331676,15.80466279,6730.0,1.32,1.52,2022,CoRoT,925.958,277.7510149,7.1833465,1567.0,0.25
TOI-329 b,TOI-329,5.70439,40.4,4.94057819,5614.0,1.0678,1.5326,2024,Transiting Exoplanet Survey Satellite (TESS),284.388,351.3210955,-15.6346313,1213.02,1.84
TOI-411 c,HD 22946,9.573083,9.72,2.328,6169.0,1.098,1.117,2022,Transiting Exoplanet Survey Satellite (TESS),62.7792,54.819538,-42.7630276,931.0,3.15
TOI-444 b,TOI-444,17.9636,,2.77,5225.0,0.96,0.779,2023,Transiting Exoplanet Survey Satellite (TESS),57.3973,64.1839982,-26.7664071,609.0,
TOI-512 b,TOI-512,7.18886,3.57,1.54,5277.0,0.74,0.89,2025,Transiting Exoplanet Survey Satellite (TESS),67.3975,96.6467023,-38.6072095,1009.0,5.623888
TOI-712 b,TOI-712,9.531361,,2.049,4622.0,0.732,0.674,2022,Transiting Exoplanet Survey Satellite (TESS),58.6212,92.9361063,-65.8258386,650.0,
TOI-1173 b,TOI-1173,7.06466,27.4,9.19,5350.0,0.911,0.934,2024,Transiting Exoplanet Survey Satellite (TESS),132.353,197.6830975,70.7680117,868.0,0.195
Kepler-1400 b,Kepler-1400,9.06689421,,1.62,5044.0,0.83,0.78,2016,Kepler,752.237,286.2716827,45.4408055,,
HN Peg b,HN Peg,,6991.57,11.7768,,,,2006,Spitzer Space Telescope,18.1186,326.1315705,14.7714524,,
Kepler-268 c,Kepler-268,83.446393,,3.38,6081.0,,1.274,2014,Kepler,851.87,291.9761559,38.0550327,,
Kepler-769 b,Kepler-769,7.42608998,,2.92,6186.0,1.19,1.28,2016,Kepler,1169.57,292.7130925,38.3581685,,
Kepler-768 b,Kepler-768,11.3910025,,1.79,5108.0,0.82,0.78,2016,Kepler,784.56,294.1156858,38.3934378,,
Kepler-376 c,Kepler-376,14.172327,,1.79,5900.0,,1.175,2014,Kepler,923.067,291.6071451,38.4103192,,
Kepler-1928 b,Kepler-1928,19.57783,,1.992,5720.0,1.01,0.92,2021,Kepler,326.362,290.4406294,38.5235721,,
Kepler-795 b,Kepler-795,29.6193421,,1.68,5631.0,0.94,0.96,2016,Kepler,492.122,291.0189951,38.5455728,,
Kepler-467 b,Kepler-467,24.99324193,,2.25,5809.0,1.05,1.37,2016,Kepler,466.265,287.3629145,38.6497341,,
Kepler-1201 b,Kepler-1201,15.18725932,,2.29,6177.0,1.15,1.24,2016,Kepler,944.241,294.6147908,40.8331158,,
Kepler-370 c,Kepler-370,19.02293,,1.91,5852.0,,0.9,2014,Kepler,1167.94,292.1710683,40.9162381,,
Kepler-370 b,Kepler-370,4.57953,,1.59,5852.0,,0.9,2014,Kepler,1167.94,292.1710683,40.9162381,,
Kepler-433 b,Kepler-433,5.33408384,896.24,16.25,6360.0,1.46,2.26,2015,Kepler,1878.31,297.5936232,40.9772546,1776.0,1.13
Kepler-1691 b,Kepler-1691,3.8482,,1.83470985,6000.0,1.11,1.13152,2020,Kepler,1267.67,286.2543962,41.0218373,,
Kepler-1492 b,Kepler-1492,16.75255007,,1.49,4712.0,0.77,0.72,2016,Kepler,331.553,288.5970695,41.0363254,,
KOI-55 c,KOI-55,0.342887,0.655,0.867,27730.0,0.496,0.203,2011,Kepler,1231.02,296.3561853,41.0927315,,
Kepler-1289 b,Kepler-1289,7.99019627,,1.52,6080.0,1.1,1.17,2016,Kepler,1053.57,296.388767,41.040509,,
Kepler-1376 b,Kepler-1376,5.30880656,,1.05,5659.0,0.98,0.97,2016,Kepler,868.056,286.9584368,42.541409,,
Kepler-1477 b,Kepler-1477,11.55530021,,1.18,5100.0,0.81,0.78,2016,Kepler,680.828,281.2985305,42.6856727,,
Kepler-119 c,Kepler-119,4.125103,,0.92,5595.0,,0.839,2014,Kepler,701.996,295.9463854,42.6588324,,
